"Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","xGoalsAddedAbovePlayStylePer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"Carlos Vela","MEX","Los Angeles FC","MLS","2018","","28","32","FW,MF","Playmaker","2378","26","88.21","11.79","Left","6.24","0.15","10.18","6.47","0.39","0.15","6292500","4351130","15000000","","625348"
"Flavien Tait","FRA","Angers","Ligue 1","2018-2019","1555.32","25","28","MF,FW","Playmaker","2985","34","10.91","89.09","Right","6.23","0.07","10.17","6.46","0.31","0.07","813146","1833441","","",""
"Luke Ayling","ENG","Leeds United","Premier League","2020-2021","1747.98","29.71","30","DF","DefensiveWideProgressor","3129","35","9.48","90.52","Right","6.23","0.1","9.09","6.41","0.26","0.1","","","","",""
"Riccardo Orsolini","ITA","Bologna","Serie A","2019-2020","1584.17","22","24","FW,MF","Playmaker","2681","32","90.11","9.89","Left","6.22","0.11","9.84","6.13","0.33","0.1","","","22000000","28378697",""
"Thomas Muller","GER","Bayern Munich","Bundesliga","2018-2019","1944.13","28","32","MF,FW","Dribbler","2378","28","13.81","86.19","Right","6.2","0.11","9.26","6.33","0.35","0.11","16906422","11141779","35000000","",""
"Daniel Caligiuri","ITA","Schalke 04","Bundesliga","2018-2019","1646.45","30","33","DF","DefensiveWideProgressor","2756","31","12.98","87.02","Right","6.2","0.14","9.06","6.38","0.3","0.14","2817172","4425204","3000000","",""
"Josip Ilicic","SVN","Atalanta","Serie A","2019-2020","1844.2","31","33","FW","Playmaker","1663","21","83.12","16.88","Left","6.2","0.29","9.86","6.16","0.53","0.3","2094501","11077835","","",""
"Amine Gouiri","FRA","Nice","Ligue 1","2020-2021","1567.59","21.23","21","FW,MF","Finisher","2577","29","5.04","94.96","Right","6.2","0.07","9.19","5.83","0.32","0.07","","","","",""
"Gerard Moreno","ESP","Villarreal","La Liga","2019-2020","1771.16","27","29","FW,MF","Playmaker","2744","33","82.71","17.29","Left","6.18","0.1","10.12","6.41","0.33","0.1","4026146","4268302","30000000","38805900",""
"Ivan Perisic","CRO","Inter","Serie A","2018-2019","1730.07","29","32","FW,MF","Dribbler","2701","30","43.75","56.25","Dual","6.17","0.07","9.23","6.3","0.31","0.07","8376873","5619229","","",""
"Andrea Belotti","ITA","Torino","Serie A","2018-2019","1692.6","24","28","FW","Finisher","3299","37","18.83","81.17","Right","6.13","0.02","9.72","6.36","0.27","0.02","3769423","4203889","35000000","",""
"Gyasi Zardes","USA","Columbus","MLS","2018","","26","30","FW","Finisher","2945","33","19.35","80.65","Right","6.13","0.05","9.72","6.36","0.3","0.05","630000","1108078","3500000","","597090"
"Luis Alberto","ESP","Lazio","Serie A","2017-2018","1753.81","24","29","MF,FW","Playmaker","2669","32","6.22","93.78","Right","6.13","0.1","10.06","6.35","0.34","0.11","","","50000000","",""
"Ciro Immobile","ITA","Lazio","Serie A","2020-2021","1756.16","31.22","31","FW","Finisher","2579","31","10.24","89.76","Right","6.1","0.1","9.93","6.57","0.35","0.1","","","45000000","",""
"Marcus Rashford","ENG","Manchester Utd","Premier League","2020-2021","1929.4","23.53","24","FW","Dribbler","2776","32","8.01","91.99","Right","6.1","0.06","9.15","6.23","0.3","0.06","","","80000000","",""
"Romelu Lukaku","BEL","Inter","Serie A","2019-2020","1801.59","26","28","FW","Finisher","2979","33","65.02","34.98","Left","6.1","0.05","9.68","6.33","0.29","0.04","","","85000000","73731983",""
"Angel Di Maria","ARG","Paris S-G","Ligue 1","2018-2019","1824.47","30","33","FW,MF","Playmaker","2324","28","92.98","7.02","Left","6.07","0.15","10.01","6.3","0.39","0.16","15040371","21008790","32000000","",""
"Sergio Ramos","ESP","Real Madrid","La Liga","2019-2020","1921.36","33","35","DF","PossessionOrientedCentralDefender","3013","35","14.2","85.8","Right","6.07","0.1","8.82","6.03","0.26","0.11","22618800","16811239","14000000","21186740",""
"Henrikh Mkhitaryan","ARM","Roma","Serie A","2020-2021","1729.19","32.3","32","FW,MF","Dribbler","2475","27","19.04","80.96","Right","6.07","0.11","10.04","7.11","0.37","0.13","","","20000000","",""
"Pablo Sarabia","ESP","Sevilla","La Liga","2018-2019","1744.58","26","29","MF,FW","Playmaker","2724","30","80.37","19.63","Left","6.06","0.09","10","6.29","0.33","0.1","3242405","3756310","","",""
"Jorge Molina","ESP","Getafe","La Liga","2017-2018","1719.8","35","39","FW","Finisher","2779","31","30.56","69.44","Right","6.05","0.07","9.87","6.51","0.32","0.07","","","1500000","",""
"Andrea Belotti","ITA","Torino","Serie A","2020-2021","1595.97","27.39","28","FW","Finisher","2688","31","22.07","77.93","Right","6.04","0.08","9.63","6.27","0.32","0.07","","","35000000","",""
"Maximiliano Urruti","ARG","FC Dallas","MLS","2018","","26","30","FW,MF","Finisher","2733","30","6.36","93.64","Right","6.04","0.07","9.63","6.27","0.32","0.07","781000","2437386","","","591562"
"Remy Cabella","FRA","Saint-Etienne","Ligue 1","2018-2019","1655.54","28","31","MF,FW","Playmaker","2997","34","15.14","84.86","Right","6.02","0.06","9.96","6.25","0.3","0.07","2569496","3606176","","",""
"Jose Luis Morales","ESP","Levante","La Liga","2017-2018","1693.33","30","34","MF,FW","Dribbler","3053","35","18.59","81.41","Right","6.01","0.03","9.06","6.14","0.27","0.03","","","5000000","",""
"Bradley Wright-Phillips","ENG","NY Red Bulls","MLS","2018","","32","36","FW","Finisher","2532","28","15.07","84.93","Right","6","0.1","9.83","6.47","0.35","0.1","","","","","603848"
"Roberto Firmino","BRA","Liverpool","Premier League","2017-2018","1913.55","25","30","FW","Finisher","2763","32","17.67","82.33","Right","6","0.07","9.59","6.23","0.31","0.06","","","72000000","",""
"Matteo Politano","ITA","Sassuolo","Serie A","2017-2018","1595.5","23","28","FW","Dribbler","2812","33","85.57","14.43","Left","5.99","0.05","8.98","6.06","0.29","0.05","","","","",""
"Matt Doherty","IRL","Wolves","Premier League","2018-2019","1719.59","26","29","DF,MF","DefensiveWideProgressor","3144","35","7.79","92.21","Right","5.98","0.09","8.84","6.17","0.25","0.09","686052","2688886","16000000","",""
"Houssem Aouar","FRA","Lyon","Ligue 1","2018-2019","1726.96","20","23","MF","AttackingCentralProgressor","3061","35","7.9","92.1","Right","5.97","0.09","8.61","5.86","0.25","0.09","1577661","991995","49500000","",""
"Duvan Zapata","COL","Atalanta","Serie A","2020-2021","1844.87","30.11","30","FW","Finisher","2156","26","22.73","77.27","Right","5.97","0.16","9.79","6.43","0.41","0.16","","","40000000","",""
"Rodrigo De Paul","ARG","Udinese","Serie A","2020-2021","1599.25","26.96","27","MF","Playmaker","2953","33","2.14","97.86","Right","5.97","0.07","9.9","6.19","0.3","0.07","","","","",""
"Richarlison","BRA","Watford","Premier League","2017-2018","1622.38","20","24","FW,MF","Finisher","2823","32","24.11","75.89","Right","5.95","0.03","8.95","5.59","0.29","0.04","","","","",""
"Wissam Ben Yedder","FRA","Monaco","Ligue 1","2019-2020","1587.32","28","31","FW","Finisher","2164","25","49.14","50.86","Dual","5.92","0.15","9.51","6.15","0.4","0.15","","","40000000","33271770",""
"Leo Dubois","FRA","Nantes","Ligue 1","2017-2018","1576.06","22","27","DF","DefensiveWideProgressor","3020","34","15.06","84.94","Right","5.91","0.09","8.38","5.7","0.25","0.09","","","","",""
"Wahbi Khazri","TUN","Saint-Etienne","Ligue 1","2018-2019","1655.54","27","30","FW,MF","Playmaker","2817","32","5.36","94.64","Right","5.89","0.08","9.83","6.12","0.31","0.08","1573138","2659566","","",""
"Christian Pulisic","USA","Dortmund","Bundesliga","2017-2018","1737.74","18","23","FW","Dribbler","2302","27","20.47","79.53","Right","5.89","0.05","7.62","4.7","0.3","0.06","","","","",""
"Wout Weghorst","NED","Wolfsburg","Bundesliga","2020-2021","1773.87","28.76","29","FW","Finisher","2761","31","13.75","86.25","Right","5.88","0.06","9.47","6.11","0.31","0.06","","","30000000","",""
"Jamie Vardy","ENG","Leicester City","Premier League","2020-2021","1815.46","34.33","34","FW","Finisher","2581","28","27.41","72.59","Right","5.88","0.09","9.7","6.34","0.34","0.09","","","16000000","",""
"Alexander Isak","SWE","Real Sociedad","La Liga","2020-2021","1742.85","21.64","22","FW","Finisher","2162","27","20.17","79.83","Right","5.88","0.12","8.87","5.51","0.37","0.12","","","22000000","",""
"Sebastian Giovinco","ITA","Toronto FC","MLS","2018","","31","34","FW","Finisher","2385","26","19.98","80.02","Right","5.86","0.11","9.68","6.32","0.37","0.12","7115556","7169895","","","594633"
"Rony Lopes","POR","Monaco","Ligue 1","2017-2018","1769.25","21","26","FW,MF","Dribbler","2532","32","72.69","27.31","Left","5.85","0.08","8.84","5.91","0.31","0.07","","","","",""
"Florian Thauvin","FRA","Marseille","Ligue 1","2018-2019","1636.44","25","28","FW,MF","Dribbler","2613","30","87.1","12.9","Left","5.84","0.07","8.9","5.98","0.31","0.07","5544999","3289347","","",""
"Aymeric Laporte","FRA","Manchester City","Premier League","2018-2019","2037.31","24","27","DF","PossessionOrientedCentralDefender","3057","34","74.75","25.25","Left","5.84","0.1","8.86","6.07","0.26","0.11","8232619","6530078","60000000","",""
"Theo Hernandez","FRA","Milan","Serie A","2020-2021","1788.7","23.59","24","DF","OffensiveWideProgressor","2685","30","91.42","8.58","Left","5.82","0.13","9.24","6.09","0.31","0.13","","","45000000","",""
"Julian Brandt","GER","Leverkusen","Bundesliga","2018-2019","1760.88","22","25","MF,FW","Playmaker","2666","30","17.56","82.44","Right","5.81","0.1","9.44","5.73","0.32","0.09","4507927","3464894","","",""
"Thomas Muller","GER","Bayern Munich","Bundesliga","2019-2020","2009.57","29","32","MF,FW","Playmaker","2255","26","15.44","84.56","Right","5.8","0.15","9.73","6.03","0.39","0.16","16906422","20418792","35000000","49510567",""
"Luciano Acosta","ARG","D.C. United","MLS","2018","","23","27","MF","Playmaker","2746","32","18.68","81.32","Right","5.79","0.09","9.41","5.7","0.31","0.08","652000","689144","","","578047"
"Gaetan Laborde","FRA","Montpellier","Ligue 1","2020-2021","1592.08","27.02","27","FW,MF","Finisher","3076","36","62.01","37.99","Left","5.77","0.03","9.35","6","0.27","0.02","","","8000000","",""
"Victor Osimhen","NGA","Lille","Ligue 1","2019-2020","1662.4","20","23","FW","Finisher","2287","25","10.85","89.15","Right","5.76","0.09","8.75","5.4","0.34","0.1","","","40000000","36409010",""
"Cristian Espinoza","ARG","San Jose","MLS","2019","","23","26","FW,MF","Dribbler","2524","30","13.87","86.13","Right","5.76","0.07","8.75","5.83","0.31","0.07","550000","960795","2000000","","537504"
"Giovanni Simeone","ARG","Fiorentina","Serie A","2017-2018","1682.86","22","26","FW","Finisher","2998","36","12.95","87.05","Right","5.75","0.01","8.75","5.39","0.26","0.01","","","","",""
"Lorenzo Insigne","ITA","Napoli","Serie A","2020-2021","1799.36","29.93","30","FW","Playmaker","2595","30","5.35","94.65","Right","5.74","0.1","9.68","5.97","0.34","0.1","","","48000000","",""
"Andrea Belotti","ITA","Torino","Serie A","2019-2020","1581.91","25","28","FW","Finisher","3008","34","18.85","81.15","Right","5.74","0.03","9.33","5.97","0.28","0.03","3769423","4482388","35000000","20687610",""
"Daniel Parejo","ESP","Valencia","La Liga","2018-2019","1809.51","29","32","MF","AttackingCentralProgressor","3061","35","7.82","92.18","Right","5.74","0.09","8.87","6.11","0.26","0.1","","","","",""
"Pierre-Emerick Aubameyang","GAB","Arsenal","Premier League","2019-2020","1803.37","30","32","FW","Finisher","3136","35","11.87","88.13","Right","5.72","0.02","9.31","5.95","0.27","0.02","12348929","10723551","56000000","47149083",""
"Marcus Thuram","FRA","Guingamp","Ligue 1","2018-2019","1467.78","20","24","FW,MF","Dribbler","2571","32","22.02","77.98","Right","5.71","0.07","8.7","5.78","0.3","0.06","627672","1184719","","",""
"Cesar Azpilicueta","ESP","Chelsea","Premier League","2019-2020","1823.89","29","32","DF","DefensiveWideProgressor","3229","36","12.23","87.77","Right","5.7","0.08","8.56","5.89","0.24","0.08","6174464","6990450","24000000","27724533",""
"Roberto Firmino","BRA","Liverpool","Premier League","2018-2019","2043.53","26","30","FW,MF","Playmaker","2607","31","13.63","86.37","Right","5.7","0.1","9.63","5.92","0.33","0.1","12348929","20696517","72000000","",""
"Milan Skriniar","SVK","Inter","Serie A","2017-2018","1752.6","22","26","DF","LowBlockCentralDefender","3420","38","13.92","86.08","Right","5.7","0.07","7.76","5.34","0.2","0.07","","","50000000","",""
"Raul Jimenez","MEX","Wolves","Premier League","2018-2019","1719.59","27","30","FW","Finisher","3111","36","8.44","91.56","Right","5.7","0.02","9.28","5.92","0.27","0.02","2828644","4540726","40000000","",""
"Son Heung-min","KOR","Tottenham","Premier League","2019-2020","1808.91","27","29","FW,MF","Dribbler","2476","28","14.18","85.82","Right","5.69","0.08","8.74","5.82","0.32","0.08","","","","",""
"Darwin Quintero","COL","Minnesota","MLS","2018","","30","34","MF,FW","Playmaker","2392","27","11.92","88.08","Right","5.69","0.13","9.62","5.91","0.36","0.13","1650000","1769549","","","590947"
"Gareth Bale","WAL","Real Madrid","La Liga","2017-2018","2020.97","28","32","FW,MF","Dribbler","1794","20","89.94","10.06","Left","5.67","0.2","8.73","5.8","0.44","0.2","","","28000000","",""
"Ollie Watkins","ENG","Aston Villa","Premier League","2020-2021","1728.97","25.36","26","FW","Finisher","3058","34","16.33","83.67","Right","5.66","0.03","9.25","5.89","0.27","0.02","","","","",""
"Angel Di Maria","ARG","Paris S-G","Ligue 1","2017-2018","1878.75","29","33","FW","Playmaker","2108","26","92.33","7.67","Left","5.65","0.17","9.59","5.88","0.41","0.18","","","32000000","",""
"Aleksandar Katai","SRB","Chicago","MLS","2018","","26","30","FW,MF","Dribbler","2426","27","20.22","79.78","Right","5.63","0.08","8.69","5.76","0.32","0.08","1320333","1001196","","","533819"
"Anthony Martial","FRA","Manchester Utd","Premier League","2019-2020","1876.21","23","26","FW","Finisher","2624","31","18.01","81.99","Right","5.63","0.04","8.62","5.26","0.3","0.05","7546568","6696699","58000000","56868267",""
"Achraf Hakimi","MAR","Dortmund","Bundesliga","2019-2020","1834.14","20","23","DF,FW","AttackingCentralProgressor","2715","29","11.53","88.47","Right","5.61","0.11","8.26","5.5","0.27","0.11","1690755","1174193","54000000","55927267",""
"Callum Wilson","ENG","Bournemouth","Premier League","2018-2019","1690.68","26","29","FW","Finisher","2528","29","18.16","81.84","Right","5.61","0.08","9.2","5.84","0.33","0.08","2744206","6143442","20000000","",""
"Ciro Immobile","ITA","Lazio","Serie A","2018-2019","1658.64","28","31","FW","Finisher","2859","31","9.65","90.35","Right","5.59","0.04","9.18","5.82","0.29","0.04","4816673","4642735","45000000","",""
"Adama Traore","ESP","Wolves","Premier League","2019-2020","1782.63","23","25","FW,MF","Dribbler","2605","27","10.29","89.71","Right","5.58","0.06","8.57","5.65","0.3","0.06","2950022","5666933","35000000","42076400",""
"Frenkie de Jong","NED","Barcelona","La Liga","2020-2021","1920.34","24","24","MF,DF","AttackingCentralProgressor","2991","33","6.7","93.3","Right","5.58","0.09","8.71","5.95","0.26","0.1","","","70000000","",""
